Datetime,Open,High,Low,Close,Volume
2026-05-17 22:00:00+00:00,4557.39990234375,4558.60009765625,4551.2998046875,4551.89990234375,206
2026-05-17 22:15:00+00:00,4552.60009765625,4553.60009765625,4541.39990234375,4545.60009765625,698
2026-05-17 22:30:00+00:00,4544.7001953125,4557.60009765625,4544.7001953125,4554.0,754
2026-05-17 22:45:00+00:00,4553.5,4558.0,4547.2998046875,4549.7001953125,480
2026-05-17 23:00:00+00:00,4550.2001953125,4551.39990234375,4543.0,4545.2998046875,381
2026-05-17 23:15:00+00:00,4544.89990234375,4548.0,4541.2001953125,4541.39990234375,373
2026-05-17 23:30:00+00:00,4540.89990234375,4545.60009765625,4535.60009765625,4542.89990234375,615
2026-05-17 23:45:00+00:00,4542.2998046875,4547.39990234375,4535.10009765625,4540.89990234375,542
2026-05-18 00:00:00+00:00,4541.0,4546.0,4526.5,4529.2001953125,1215
2026-05-18 00:15:00+00:00,4529.7001953125,4536.7998046875,4517.39990234375,4519.0,1075
2026-05-18 00:30:00+00:00,4518.60009765625,4522.2001953125,4483.5,4485.39990234375,4886
2026-05-18 00:45:00+00:00,4485.0,4519.7998046875,4483.7998046875,4518.5,2633
2026-05-18 01:00:00+00:00,4518.10009765625,4519.2998046875,4492.10009765625,4500.2001953125,3094
2026-05-18 01:15:00+00:00,4499.7998046875,4513.0,4495.39990234375,4507.5,1726
2026-05-18 01:30:00+00:00,4505.2998046875,4516.2998046875,4502.5,4515.2001953125,1679
2026-05-18 01:45:00+00:00,4515.60009765625,4538.60009765625,4513.89990234375,4527.89990234375,2273
2026-05-18 02:00:00+00:00,4527.89990234375,4542.0,4524.89990234375,4539.7001953125,1635
2026-05-18 02:15:00+00:00,4539.7998046875,4544.0,4535.10009765625,4536.7998046875,945
2026-05-18 02:30:00+00:00,4536.2001953125,4544.10009765625,4532.0,4539.2998046875,914
2026-05-18 02:45:00+00:00,4538.7001953125,4545.89990234375,4533.2998046875,4536.39990234375,882
2026-05-18 03:00:00+00:00,4537.0,4538.89990234375,4530.0,4532.5,882
2026-05-18 03:15:00+00:00,4532.0,4541.2998046875,4531.5,4538.60009765625,697
2026-05-18 03:30:00+00:00,4539.2998046875,4551.39990234375,4528.0,4548.60009765625,1307
2026-05-18 03:45:00+00:00,4548.60009765625,4551.2001953125,4542.89990234375,4546.7998046875,1433
2026-05-18 04:00:00+00:00,4545.2001953125,4553.7998046875,4545.2001953125,4548.2001953125,862
2026-05-18 04:15:00+00:00,4548.2001953125,4551.10009765625,4533.39990234375,4535.89990234375,1979
2026-05-18 04:30:00+00:00,4535.89990234375,4548.0,4535.5,4545.5,1046
2026-05-18 04:45:00+00:00,4545.10009765625,4549.39990234375,4539.2998046875,4544.2001953125,1318
2026-05-18 05:00:00+00:00,4544.7998046875,4546.7001953125,4536.39990234375,4541.60009765625,1371
2026-05-18 05:15:00+00:00,4539.60009765625,4554.2998046875,4538.60009765625,4552.39990234375,1522
2026-05-18 05:30:00+00:00,4552.5,4556.0,4542.39990234375,4543.7998046875,1124
2026-05-18 05:45:00+00:00,4542.7001953125,4546.89990234375,4533.60009765625,4534.60009765625,1286
2026-05-18 06:00:00+00:00,4534.2998046875,4544.0,4533.10009765625,4541.2998046875,1594
2026-05-18 06:15:00+00:00,4540.60009765625,4551.39990234375,4538.0,4541.10009765625,2517
2026-05-18 06:30:00+00:00,4541.10009765625,4550.60009765625,4538.2998046875,4543.89990234375,1165
2026-05-18 06:45:00+00:00,4544.10009765625,4551.7998046875,4542.10009765625,4550.5,1647
2026-05-18 07:00:00+00:00,4551.0,4553.10009765625,4545.7001953125,4546.60009765625,1055
2026-05-18 07:15:00+00:00,4547.0,4555.2001953125,4541.60009765625,4554.60009765625,1506
2026-05-18 07:30:00+00:00,4554.7001953125,4564.0,4551.0,4553.2998046875,1857
2026-05-18 07:45:00+00:00,4552.2998046875,4555.10009765625,4543.5,4550.0,1342
2026-05-18 08:00:00+00:00,4550.0,4552.60009765625,4546.0,4550.2998046875,781
2026-05-18 08:15:00+00:00,4550.0,4555.5,4546.60009765625,4551.2001953125,1141
2026-05-18 08:30:00+00:00,4551.5,4556.7998046875,4549.39990234375,4552.10009765625,1236
2026-05-18 08:45:00+00:00,4552.10009765625,4560.89990234375,4552.10009765625,4553.7998046875,832
2026-05-18 09:00:00+00:00,4553.89990234375,4555.7001953125,4544.89990234375,4550.2998046875,851
2026-05-18 09:15:00+00:00,4549.7998046875,4552.7998046875,4548.2001953125,4549.0,767
2026-05-18 09:30:00+00:00,4548.7001953125,4550.2998046875,4544.0,4546.60009765625,1798
2026-05-18 09:45:00+00:00,4546.7001953125,4548.2001953125,4543.7998046875,4547.0,279
2026-05-18 10:00:00+00:00,4546.39990234375,4548.7001953125,4539.2998046875,4542.89990234375,1222
2026-05-18 10:15:00+00:00,4542.60009765625,4546.2001953125,4541.7001953125,4543.2998046875,563
2026-05-18 10:30:00+00:00,4543.0,4547.5,4535.60009765625,4546.89990234375,1185
2026-05-18 10:45:00+00:00,4547.2998046875,4551.39990234375,4540.2001953125,4543.39990234375,1016
2026-05-18 11:00:00+00:00,4543.5,4545.2998046875,4533.5,4543.0,1062
2026-05-18 11:15:00+00:00,4542.89990234375,4543.7998046875,4535.60009765625,4539.60009765625,1432
